iter	Passed	Remaining
0	7	5474
1	17	6256
2	24	5791
3	33	5862
4	40	5610
5	49	5710
6	58	5789
7	65	5630
8	70	5418
9	74	5146
10	80	5069
11	86	4964
12	91	4856
13	96	4724
14	102	4672
15	105	4519
16	109	4394
17	116	4395
18	119	4297
19	125	4263
20	132	4289
21	136	4204
22	140	4128
23	144	4058
24	150	4054
25	153	3988
26	157	3928
27	161	3882
28	167	3874
29	172	3852
30	177	3832
31	183	3822
32	187	3797
33	191	3758
34	196	3731
35	202	3738
36	208	3735
37	215	3749
38	218	3705
39	222	3668
40	225	3629
41	231	3632
42	235	3597
43	241	3603
44	249	3625
45	254	3621
46	258	3597
47	266	3615
48	270	3596
49	277	3604
50	285	3635
51	294	3674
52	302	3697
53	313	3749
54	320	3757
55	325	3745
56	330	3727
57	334	3703
58	338	3676
59	345	3686
60	352	3691
61	356	3667
62	363	3671
63	366	3646
64	373	3646
65	379	3642
66	385	3643
67	393	3653
68	398	3642
69	401	3610
70	404	3586
71	410	3576
72	415	3569
73	419	3548
74	426	3555
75	430	3534
76	434	3512
77	438	3497
78	444	3495
79	448	3478
80	452	3459
81	456	3444
82	464	3449
83	468	3434
84	475	3442
85	483	3449
86	489	3452
87	496	3454
88	504	3461
89	512	3474
90	518	3468
91	525	3475
92	532	3477
93	539	3477
94	546	3482
95	552	3476
96	559	3480
97	565	3474
98	573	3483
99	579	3478
100	586	3477
101	594	3485
102	601	3488
103	607	3481
104	614	3484
105	622	3486
106	630	3491
107	638	3497
108	643	3489
109	650	3491
110	659	3499
111	664	3488
112	672	3492
113	679	3494
114	688	3503
115	695	3503
116	702	3498
117	709	3499
118	715	3494
119	724	3499
120	730	3497
121	738	3499
122	746	3500
123	754	3506
124	762	3507
125	770	3508
126	778	3513
127	788	3524
128	796	3524
129	804	3528
130	809	3514
131	814	3504
132	822	3506
133	830	3506
134	839	3513
135	846	3508
136	853	3507
137	860	3505
138	868	3506
139	874	3497
140	880	3488
141	887	3487
142	893	3481
143	901	3482
144	908	3475
145	915	3472
146	922	3471
147	929	3466
148	936	3463
149	942	3457
150	948	3448
151	955	3443
152	959	3431
153	963	3416
154	970	3413
155	977	3408
156	982	3399
157	987	3386
158	990	3371
159	994	3356
160	999	3345
161	1003	3332
162	1007	3320
163	1013	3312
164	1018	3303
165	1022	3289
166	1026	3276
167	1031	3265
168	1036	3256
169	1041	3245
170	1048	3242
171	1054	3236
172	1057	3222
173	1061	3208
174	1067	3201
